Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,6.8804,6.9098,6.8699,6.9057,6.9057,0
2017-04-10,6.9051,6.9313,6.8714,6.891,6.891,0
2017-04-17,6.8909,6.9059,6.7614,6.7921,6.7921,0
2017-04-24,6.7729,6.92,6.771,6.9121,6.9121,0
2017-05-01,6.9113,6.9262,6.8487,6.8847,6.8847,0
2017-05-08,6.883,6.926,6.883,6.9021,6.9021,0
2017-05-15,6.9015,6.9047,6.8464,6.8539,6.8539,0
2017-05-22,6.8531,6.9124,6.8447,6.857,6.857,0
2017-05-29,6.8572,6.8653,6.7846,6.8128,6.8128,0
2017-06-05,6.812,6.813,6.77,6.7848,6.7848,0
2017-06-12,6.7844,6.8184,6.7593,6.8034,6.8034,0
2017-06-19,6.804,6.853,6.7823,6.8342,6.8342,0
2017-06-26,6.8327,6.8452,6.761,6.7781,6.7781,0
2017-07-03,6.7782,6.8118,6.7612,6.8029,6.8029,0
2017-07-10,6.8027,6.8073,6.7404,6.7405,6.7405,0
2017-07-17,6.7413,6.7835,6.7197,6.7197,6.7197,0
2017-07-24,6.7202,6.7671,6.7202,6.7389,6.7389,0
2017-07-31,6.7388,6.7699,6.6933,6.7657,6.7657,0
2017-08-07,6.7647,6.7647,6.6427,6.662,6.662,0
2017-08-14,6.6621,6.6997,6.6533,6.6687,6.6687,0
2017-08-21,6.6692,6.6779,6.5762,6.5829,6.5829,0
2017-08-28,6.5834,6.6506,6.5377,6.5465,6.5465,0
2017-09-04,6.5472,6.5611,6.436,6.5309,6.5309,0
2017-09-11,6.5299,6.5605,6.4867,6.5507,6.5507,0
2017-09-18,6.5487,6.6207,6.5393,6.6046,6.6046,0
2017-09-25,6.6047,6.6834,6.5974,6.6578,6.6578,0
2017-10-02,6.6388,6.6671,6.6372,6.65,6.65,0
2017-10-09,6.6495,6.6525,6.5647,6.5891,6.5891,0
2017-10-16,6.5809,6.6355,6.5711,6.6223,6.6223,0
2017-10-23,6.6381,6.6603,6.6191,6.6414,6.6414,0
2017-10-30,6.6586,6.6621,6.5832,6.638,6.638,0
2017-11-06,6.638,6.643,6.6133,6.6315,6.6315,0
2017-11-13,6.6391,6.6507,6.6118,6.6168,6.6168,0
2017-11-20,6.662,6.6621,6.5666,6.6012,6.6012,0
2017-11-27,6.6011,6.6169,6.5871,6.6074,6.6074,0
2017-12-04,6.6356,6.6356,6.6027,6.6202,6.6202,0
2017-12-11,6.6181,6.6233,6.5973,6.5994,6.5994,0
2017-12-18,6.6147,6.6232,6.5469,6.5764,6.5764,0
2017-12-25,6.5785,6.5833,6.494,6.5057,6.5057,0
2018-01-01,6.5057,6.5093,6.4694,6.4788,6.4788,0
2018-01-08,6.4874,6.5342,6.4473,6.4507,6.4507,0
2018-01-15,6.458,6.46,6.3819,6.394,6.394,0
2018-01-22,6.4031,6.4118,6.3078,6.3228,6.3228,0
2018-01-29,6.3156,6.3436,6.2683,6.3022,6.3022,0
2018-02-05,6.308,6.3435,6.2462,6.2882,6.2882,0
2018-02-12,6.2878,6.3521,6.2781,6.3448,6.3448,0
2018-02-19,6.3436,6.3624,6.3273,6.3273,6.3273,0
2018-02-26,6.3363,6.3612,6.2881,6.3474,6.3474,0
2018-03-05,6.3503,6.3517,6.3074,6.3416,6.3416,0
2018-03-12,6.33,6.3359,6.3008,6.3209,6.3209,0
2018-03-19,6.3386,6.3442,6.306,6.3096,6.3096,0
2018-03-26,6.3183,6.3187,6.2342,6.2856,6.2856,0
2018-04-02,6.2832,6.3091,6.2749,6.301,6.301,0
2018-04-09,6.3063,6.3162,6.2658,6.2739,6.2739,0
2018-04-16,6.274,6.2965,6.2541,6.2865,6.2865,0
2018-04-23,6.2865,6.3472,6.2834,6.332,6.332,0
2018-04-30,6.3348,6.3691,6.3233,6.3617,6.3617,0
2018-05-07,6.3527,6.3812,6.3215,6.3331,6.3331,0
2018-05-14,6.3241,6.3798,6.3241,6.3773,6.3773,0
2018-05-21,6.3832,6.3957,6.3629,6.3874,6.3874,0
2018-05-28,6.3685,6.4326,6.3558,6.4104,6.4104,0
2018-06-04,6.4104,6.422,6.3776,6.3967,6.3967,0
2018-06-11,6.3967,6.4409,6.3807,6.4365,6.4365,0
2018-06-18,6.4294,6.512,6.4276,6.4921,6.4921,0
2018-06-25,6.504,6.6391,6.504,6.6215,6.6215,0
2018-07-02,6.6218,6.7143,6.5978,6.6415,6.6415,0
2018-07-09,6.6412,6.7335,6.5904,6.6872,6.6872,0
2018-07-16,6.6942,6.8092,6.6614,6.7609,6.7609,0
2018-07-23,6.7583,6.8384,6.7318,6.8127,6.8127,0
2018-07-30,6.8037,6.8927,6.7843,6.8288,6.8288,0
2018-08-06,6.8334,6.8626,6.798,6.8445,6.8445,0
2018-08-13,6.8372,6.9338,6.8372,6.8766,6.8766,0
2018-08-20,6.8765,6.8897,6.797,6.8775,6.8775,0
2018-08-27,6.797,6.8525,6.7907,6.829,6.829,0
2018-09-03,6.8324,6.8588,6.7975,6.8428,6.8428,0
2018-09-10,6.8338,6.8783,6.8243,6.8429,6.8429,0
2018-09-17,6.8658,6.8778,6.8295,6.8567,6.8567,0
2018-09-24,6.8561,6.891,6.8423,6.868,6.868,0
2018-10-01,6.868,6.868,6.8589,6.8589,6.8589,0
2018-10-08,6.8589,6.9323,6.8589,6.8886,6.8886,0
2018-10-15,6.9215,6.9403,6.9013,6.9367,6.9367,0
2018-10-22,6.9287,6.9632,6.9242,6.9425,6.9425,0
2018-10-29,6.9425,6.9761,6.8676,6.8899,6.8899,0
2018-11-05,6.8899,6.956,6.8897,6.9559,6.9559,0
2018-11-12,6.9559,6.9688,6.929,6.928,6.928,0
2018-11-19,6.937,6.9484,6.917,6.9385,6.9385,0
2018-11-26,6.9475,6.9589,6.9264,6.9505,6.9505,0
2018-12-03,6.958,6.9595,6.8218,6.8817,6.8817,0
2018-12-10,6.8747,6.9138,6.8626,6.8807,6.8807,0
2018-12-17,6.9066,6.911,6.8751,6.9054,6.9054,0
2018-12-24,6.9054,6.9109,6.8445,6.8772,6.8772,0
2018-12-31,6.8772,6.8817,6.8433,6.8684,6.8684,0
2019-01-07,6.8684,6.8697,6.7313,6.7617,6.7617,0
2019-01-14,6.762,6.7797,6.7365,6.7754,6.7754,0
2019-01-21,6.7778,6.8096,6.7373,6.7477,6.7477,0
2019-01-28,6.7463,6.752,6.6868,6.7439,6.7439,0
2019-02-04,6.7438,6.7439,6.7348,6.7438,6.7438,0
2019-02-11,6.7438,6.7926,6.7435,6.7721,6.7721,0
2019-02-18,6.7721,6.779,6.691,6.7042,6.7042,0
2019-02-25,6.7132,6.7184,6.6688,6.7054,6.7054,0
2019-03-04,6.7054,6.7257,6.6835,6.7206,6.7206,0
2019-03-11,6.7206,6.7283,6.6969,6.722,6.722,0
2019-03-18,6.7128,6.7185,6.6648,6.7171,6.7171,0
2019-03-25,6.7173,6.7387,6.6977,6.7111,6.7111,0
2019-04-01,6.7021,6.7233,6.6973,6.7166,6.7166,0
2019-04-08,6.7175,6.7219,6.6944,6.6944,6.6944,0
2019-04-15,6.7033,6.7113,6.6771,6.7081,6.7081,0
2019-04-22,6.7058,6.7479,6.703,6.7287,6.7287,0
2019-04-29,6.7198,6.7406,6.7197,6.7339,6.7339,0
2019-05-06,6.7337,6.8288,6.7336,6.8265,6.8265,0
2019-05-13,6.8141,6.9177,6.8141,6.8828,6.8828,0
2019-05-20,6.9178,6.9213,6.8881,6.8903,6.8903,0
2019-05-27,6.8903,6.9167,6.8814,6.9009,6.9009,0
2019-06-03,6.895,6.9163,6.8938,6.909,6.909,0
2019-06-10,6.9087,6.9347,6.9014,6.9244,6.9244,0
2019-06-17,6.9245,6.9291,6.8271,6.851,6.851,0
2019-06-24,6.869,6.8909,6.8551,6.8671,6.8671,0
2019-07-01,6.8568,6.8926,6.8316,6.8926,6.8926,0
2019-07-08,6.8926,6.8939,6.8555,6.8798,6.8798,0
2019-07-15,6.8708,6.8821,6.8639,6.8809,6.8809,0
2019-07-22,6.881,6.8831,6.8625,6.8716,6.8716,0
2019-07-29,6.8692,6.9433,6.8692,6.8978,6.8978,0
2019-08-05,6.9393,7.0637,6.9393,7.0443,7.0443,0
2019-08-12,7.0614,7.069,7.0045,7.024,7.024,0
2019-08-19,7.0419,7.0976,7.0363,7.095,7.095,0
2019-08-26,7.095,7.1692,7.095,7.1436,7.1436,0
2019-09-02,7.1558,7.1839,7.1053,7.1147,7.1147,0
2019-09-09,7.1057,7.1338,7.0608,7.0785,7.0785,0
2019-09-16,7.0785,7.1038,7.0558,7.0956,7.0956,0
2019-09-23,7.0816,7.1374,7.0816,7.1218,7.1218,0
2019-09-30,7.1128,7.1476,7.1128,7.1475,7.1475,0
2019-10-07,7.1475,7.1523,7.078,7.0872,7.0872,0
2019-10-14,7.087,7.1019,7.0498,7.0764,7.0764,0
2019-10-21,7.0808,7.0851,7.0524,7.0647,7.0647,0
2019-10-28,7.0647,7.068,7.0289,7.0364,7.0364,0
2019-11-04,7.0364,7.0365,6.963,6.9972,6.9972,0
2019-11-11,6.9948,7.0273,6.9861,7.0073,7.0073,0
2019-11-18,7.0074,7.0437,7.0022,7.0382,7.0382,0
2019-11-25,7.0383,7.0406,7.0143,7.0315,7.0315,0
2019-12-02,7.0315,7.0727,7.0216,7.0343,7.0343,0
2019-12-09,7.0343,7.0423,6.9601,6.9719,6.9719,0
2019-12-16,6.9719,7.0148,6.9717,7.0057,7.0057,0
2019-12-23,7.0057,7.0131,6.9815,6.9948,6.9948,0
2019-12-30,6.9948,6.9948,6.9575,6.9645,6.9645,0
2020-01-06,6.9645,6.9775,6.9093,6.9186,6.9186,0
2020-01-13,6.9093,6.9142,6.8526,6.8587,6.8587,0
2020-01-20,6.8587,6.9357,6.8398,6.9357,6.9357,0
2020-01-27,6.9357,6.9358,6.9352,6.9357,6.9357,0
2020-02-03,6.9357,7.0246,6.9356,7.0006,7.0006,0
2020-02-10,7.0006,7.0013,6.9583,6.9861,6.9861,0
2020-02-17,6.9861,7.0415,6.9703,7.0262,7.0262,0
2020-02-24,7.0261,7.0415,6.9738,6.9909,6.9909,0
2020-03-02,6.991,7.0001,6.9133,6.9309,6.9309,0
2020-03-09,6.9311,7.0352,6.9216,7.0072,7.0072,0
2020-03-16,7.0072,7.1246,6.9819,7.0948,7.0948,0
2020-03-23,7.0949,7.1206,7.0472,7.0954,7.0954,0
2020-03-30,7.0953,7.1061,7.0725,7.0913,7.0913,0
2020-04-06,7.0913,7.0916,7.0288,7.0351,7.0351,0
2020-04-13,7.0351,7.082,7.0351,7.0721,7.0721,0
2020-04-20,7.0722,7.0897,7.0567,7.0808,7.0808,0
2020-04-27,7.0809,7.0891,7.0412,7.0615,7.0615,0
2020-05-04,7.0615,7.1062,7.0522,7.0732,7.0732,0
2020-05-11,7.0731,7.1085,7.0716,7.1012,7.1012,0
2020-05-18,7.1012,7.1425,7.0835,7.1294,7.1294,0
2020-05-25,7.1294,7.1769,7.1255,7.1363,7.1363,0
2020-06-01,7.1363,7.1383,7.0724,7.081,7.081,0
2020-06-08,7.081,7.0897,7.0483,7.0824,7.0824,0
2020-06-15,7.0824,7.0971,7.0641,7.0713,7.0713,0
2020-06-22,7.0713,7.0811,7.0511,7.0774,7.0774,0
2020-06-29,7.0772,7.0803,7.0517,7.0653,7.0653,0
2020-07-06,7.0654,7.0654,6.9762,6.9919,6.9919,0
2020-07-13,6.992,7.007,6.9808,6.9912,6.9912,0
2020-07-20,6.9912,7.0224,6.9622,7.0163,7.0163,0
2020-07-27,7.0161,7.0163,6.9657,6.9742,6.9742,0
2020-08-03,6.9742,6.9858,6.9327,6.9664,6.9664,0
2020-08-10,6.967,6.9711,6.9273,6.9493,6.9493,0
2020-08-17,6.9494,6.9494,6.8981,6.9184,6.9184,0
2020-08-24,6.9185,6.9198,6.8565,6.8643,6.8643,0
2020-08-31,6.8644,6.8644,6.81,6.8415,6.8415,0
2020-09-07,6.8415,6.8549,6.8198,6.8334,6.8334,0
2020-09-14,6.8334,6.8334,6.7418,6.768,6.768,0
2020-09-21,6.768,6.8325,6.7561,6.8228,6.8228,0
2020-09-28,6.8228,6.8267,6.789,6.7899,6.7899,0
2020-10-05,6.7898,6.79,6.6923,6.6937,6.6937,0
2020-10-12,6.6937,6.7595,6.6914,6.6965,6.6965,0
2020-10-19,6.6966,6.7024,6.6376,6.6857,6.6857,0
2020-10-26,6.6858,6.729,6.671,6.714,6.714,0
2020-11-02,6.6917,6.7532,6.5993,6.6104,6.6104,0
2020-11-09,6.6105,6.6324,6.5719,6.6054,6.6054,0
2020-11-16,6.6054,6.6054,6.5311,6.5619,6.5619,0
2020-11-23,6.562,6.5916,6.5546,6.576,6.576,0
2020-11-30,6.5759,6.5935,6.5223,6.5306,6.5306,0
2020-12-07,6.5306,6.5513,6.5144,6.5457,6.5457,0
2020-12-14,6.5457,6.555,6.5194,6.536,6.536,0
2020-12-21,6.5367,6.5544,6.5196,6.5408,6.5408,0
2020-12-28,6.5408,6.5461,6.5056,6.532,6.532,0
2021-01-04,6.5257,6.5257,6.4294,6.4743,6.4743,0
2021-01-11,6.4744,6.4906,6.4513,6.4797,6.4797,0
2021-01-18,6.4798,6.4961,6.4509,6.4808,6.4808,0
2021-01-25,6.4809,6.4924,6.4178,6.4266,6.4266,0
2021-02-01,6.4268,6.4799,6.4268,6.4657,6.4657,0
2021-02-08,6.4657,6.4657,6.4278,6.4572,6.4572,0
2021-02-15,6.4573,6.4884,6.4409,6.4858,6.4858,0
2021-02-22,6.4858,6.4858,6.4423,6.4779,6.4779,0
2021-03-01,6.4742,6.4973,6.4535,6.4957,6.4957,0
2021-03-08,6.4958,6.5422,6.4716,6.5075,6.5075,0
2021-03-15,6.4985,6.5172,6.4829,6.5079,6.5079,0
2021-03-22,6.499,6.5458,6.499,6.5405,6.5405,0
2021-03-29,6.5405,6.5764,6.5404,6.5665,6.5665,0
2021-04-05,6.5665,6.5667,6.533,6.5519,6.5519,0
2021-04-12,6.552,6.5589,6.5103,6.511,6.511,0
2021-04-19,6.5111,6.5303,6.4774,6.494,6.494,0
2021-04-26,6.4944,6.4944,6.4572,6.4734,6.4734,0
2021-05-03,6.4735,6.4823,6.4225,6.4314,6.4314,0
2021-05-10,6.4315,6.4564,6.4037,6.436,6.436,0
2021-05-17,6.4361,6.4426,6.4127,6.4331,6.4331,0
2021-05-24,6.4332,6.4384,6.3591,6.3674,6.3674,0
2021-05-31,6.3674,6.3831,6.3518,6.369,6.369,0
